genome	subtype	instances
AG-898-A14	RM_type_IV	1
AG-898-B13	RM_type_IIG	1
AG-898-B14	RM_type_IV	1
AG-898-C15	RM_type_I	1
AG-898-C16	RM_type_III	1
AG-898-C23	Eleos	1
AG-898-C23	RM_type_IV	1
AG-898-E11	Zorya_type_II	1
AG-898-F03	RM_type_IIG	1
AG-898-F05	RM_type_IV	1
AG-898-F21	Zorya_type_II	1
AG-898-F21	RM_type_IIG	1
AG-898-G02	RM_type_IIG	1
AG-898-G03	RM_type_II	1
AG-898-G05	Eleos	1
AG-898-G18	Eleos	1
AG-898-I14	RM_type_II	1
AG-898-I19	RM_type_IIG	1
AG-898-J04	RM_type_III	1
AG-898-K22	RM_type_I	1
AG-898-L21	RM_type_III	1
AG-898-M04	RM_type_III	1
AG-898-M10	RM_type_IIG	1
AG-898-M13	Cas_Class2_TypeII_subtypeC	1
AG-898-N03	dGTPase	1
AG-898-N23	RM_type_II	2
AG-898-O07	Zorya_type_II	1
AG-898-O20	RM_type_III	1
AG-899-B22	RM_type_II	1
AG-899-C10	RM_type_III	1
AG-899-C17	RM_type_IIG	1
AG-899-E08	RM_type_II	2
AG-899-E14	RM_type_II	1
AG-899-E20	RM_type_I	1
AG-899-F05	RM_type_IV	1
AG-899-F06	PsyrTA	1
AG-899-F06	RM_type_III	1
AG-899-G05	PsyrTA	1
AG-899-G05	RM_type_IV	1
AG-899-G06	PsyrTA	1
AG-899-G10	Pycsar	1
AG-899-G11	RM_type_IV	1
AG-899-G15	Lamassu_type_I	1
AG-899-I06	RM_type_I	1
AG-899-I08	RM_type_IIG	1
AG-899-I09	RM_type_I	1
AG-899-I11	DarTG	1
AG-899-I11	Druantia_type_II	1
AG-899-J06	BREX_type_I	1
AG-899-J13	RM_type_IIG	1
AG-899-J13	RM_type_II	1
AG-899-J15	ShosTA	1
AG-899-J15	Zorya_type_II	1
AG-899-J15	BREX_df	1
AG-899-K13	RM_type_II	1
AG-899-L04	RM_type_IV	1
AG-899-L14	RM_type_II	2
AG-899-L14	RM_type_I	1
AG-899-L16	RM_type_I	1
AG-899-M02	AbiU	1
AG-899-M10	RM_type_IIG	1
AG-899-M10	RM_type_II	1
AG-899-M13	RM_type_I	1
AG-899-M18	RM_type_I	1
AG-899-M19	RM_type_I	1
AG-899-N16	RM_type_I	1
AG-899-N23	RM_type_I	1
AG-899-O08	RM_type_I	1
AG-899-O11	Eleos	1
AG-899-O16	RM_type_IV	1
AG-899-P03	Zorya_type_II	1
AG-899-P04	RM_type_II	1
AG-899-P08	Eleos	1
AG-899-P08	RM_type_IV	1
AG-899-P08	RM_type_I	1
AG-899-P09	RM_type_IV	1
AG-899-P13	RM_type_I	1
AG-899-P20	RM_type_I	1
AG-900-A01	Cas_Class2_TypeII_subtypeC	1
AG-900-B07	RM_type_I	1
AG-900-B08	RM_type_I	1
AG-900-B08	RM_type_III	1
AG-900-B21	RM_type_I	1
AG-900-B23	RM_type_II	1
AG-900-C15	PD-T4-3	1
AG-900-D13	RM_type_IIG	1
AG-900-E02	RM_type_I	1
AG-900-E06	RM_type_II	1
AG-900-F03	RM_type_IV	1
AG-900-F03	RM_type_III	1
AG-900-F08	Eleos	1
AG-900-F17	RM_type_IV	1
AG-900-G07	RM_type_IIG	1
AG-900-G19	RM_type_IV	1
AG-900-G21	RM_type_I	1
AG-900-I06	RM_type_IV	1
AG-900-I13	RM_type_I	1
AG-900-I14	RM_type_II	1
AG-900-I21	RM_type_IV	1
AG-900-J15	RM_type_I	1
AG-900-K04	RM_type_II	1
AG-900-K07	RM_type_II	1
AG-900-K16	RM_type_IIG	1
AG-900-K20	RM_type_II	1
AG-900-L05	RM_type_I	1
AG-900-L23	Eleos	1
AG-900-M07	RM_type_II	1
AG-900-M14	RM_type_IV	1
AG-900-N18	RM_type_IIG	1
AG-900-P04	RM_type_I	1
AG-900-P17	Eleos	1
AG-900-P23	Wadjet_type_I	1
AG-901-A20	RM_type_I	1
AG-901-A23	RM_type_I	1
AG-901-B05	RM_type_IIG	1
AG-901-C06	RM_type_IV	1
AG-901-C10	Eleos	1
AG-901-C10	RM_type_I	1
AG-901-C17	PsyrTA	1
AG-901-C17	RM_type_II	1
AG-901-C21	RM_type_IIG	1
AG-901-D04	PsyrTA	1
AG-901-D22	RM_type_IV	1
AG-901-D23	RM_type_III	1
AG-901-E05	Pycsar	1
AG-901-E20	Eleos	1
AG-901-F04	RM_type_I	1
AG-901-G03	RM_type_I	1
AG-901-G09	RM_type_I	1
AG-901-G13	RM_type_IIG	1
AG-901-G13	RM_type_II	1
AG-901-I21	RM_type_IV	1
AG-901-J04	RM_type_II	1
AG-901-J16	RM_type_III	1
AG-901-K17	RM_type_II	1
AG-901-K17	RM_type_IIG	1
AG-901-L10	RM_type_II	1
AG-901-M03	PD-T4-3	1
AG-901-M03	RM_type_I	1
AG-901-M14	RM_type_II	2
AG-901-M15	RM_type_I	1
AG-901-N10	RM_type_II	1
AG-901-O07	Cas_Class2_TypeII_subtypeC	1
AG-901-O21	RM_type_II	2
AG-901-P11	Pycsar	1
AG-901-P16	Pycsar	1
AG-901-P18	RM_type_II	2
AG-903-A05	RM_type_II	1
AG-903-A16	RM_type_I	1
AG-903-B05	PD-T4-3	1
AG-903-B09	Borvo	1
AG-903-B09	RM_type_IV	1
AG-903-B15	RM_type_IV	1
AG-903-C06	RM_type_IV	1
AG-903-C11	RM_type_I	1
AG-903-C20	RM_type_IIG	1
AG-903-D02	RM_type_IIG	1
AG-903-D04	RM_type_III	1
AG-903-D11	RM_type_IV	1
AG-903-D13	RM_type_IV	1
AG-903-D13	RM_type_III	1
AG-903-D15	RM_type_II	2
AG-903-E05	RM_type_I	1
AG-903-E10	RM_type_I	1
AG-903-E20	Zorya_type_II	1
AG-903-E20	RM_type_IIG	1
AG-903-F15	RM_type_II	1
AG-903-F19	RM_type_IIG	1
AG-903-I03	RM_type_IV	1
AG-903-J18	RM_type_II	1
AG-903-K03	RM_type_II	1
AG-903-K11	RM_type_I	1
AG-903-K13	RM_type_III	1
AG-903-K22	RM_type_I	1
AG-903-L03	RM_type_I	1
AG-903-L15	RM_type_II	1
AG-903-M09	RM_type_I	1
AG-903-N07	RM_type_II	1
AG-903-O03	RM_type_I	1
AG-903-O04	RM_type_I	1
AG-903-O06	RM_type_IV	1
AG-903-O09	Retron_type_XIII	1
AG-903-P08	RM_type_IIG	1
AG-903-P13	Zorya_type_II	1
AG-903-P18	RM_type_II	1
AG-904-A06	RM_type_I	2
AG-904-A07	RM_type_IIG	1
AG-904-A08	RM_type_II	2
AG-904-C02	RM_type_I	1
AG-904-C11	Dpd	1
AG-904-C11	RM_type_IV	1
AG-904-C14	RM_type_I	1
AG-904-D11	RM_type_I	1
AG-904-D23	RM_type_IIG	1
AG-904-E04	RM_type_IV	1
AG-904-E07	RM_type_I	1
AG-904-E10	PD-T4-3	1
AG-904-E19	RM_type_IIG	1
AG-904-E23	RM_type_I	1
AG-904-F08	RM_type_II	1
AG-904-F19	RM_type_II	1
AG-904-G19	Druantia_type_III	1
AG-904-I15	PD-T4-3	1
AG-904-J16	RM_type_I	1
AG-904-K03	RM_type_I	1
AG-904-M07	RM_type_IIG	1
AG-904-M20	Zorya_type_I	1
AG-904-M22	RM_type_II	2
AG-904-N03	Zorya_type_II	1
AG-904-N06	Eleos	1
AG-904-N10	RM_type_IV	1
AG-904-O14	Mokosh_type_I	1
AG-904-O14	RM_type_IV	1
AG-904-O22	RM_type_IV	1
AG-904-O22	RM_type_I	1
AG-904-P17	RM_type_IV	1
AG-905-A03	RM_type_I	1
AG-905-A07	RM_type_III	1
AG-905-B10	RM_type_II	1
AG-905-C16	RM_type_I	1
AG-905-C17	Druantia_type_I	1
AG-905-D04	RM_type_IV	1
AG-905-D04	RM_type_II	2
AG-905-D11	RM_type_III	1
AG-905-D20	RM_type_III	1
AG-905-D23	RM_type_I	1
AG-905-E08	RM_type_IIG	1
AG-905-E11	RM_type_I	1
AG-905-F11	Zorya_type_II	1
AG-905-G05	RM_type_II	1
AG-905-G15	PD-T4-3	1
AG-905-G15	RM_type_II	1
AG-905-I20	PD-T4-3	1
AG-905-I22	Pycsar	1
AG-905-J04	PD-T4-3	1
AG-905-J08	RM_type_II	1
AG-905-K06	PD-T4-3	1
AG-905-L11	Eleos	1
AG-905-L13	RM_type_II	1
AG-905-L21	RM_type_IIG	1
AG-905-M05	RM_type_II	2
AG-905-M07	RM_type_II	2
AG-905-M08	PD-T4-3	1
AG-905-N19	RM_type_I	1
AG-905-O07	RM_type_IIG	1
AG-905-P14	PD-T4-3	1
AG-907-A02	RM_type_IV	1
AG-907-A16	RM_type_I	1
AG-907-B05	Cas_Class2_TypeII_subtypeC	1
AG-907-B06	RM_type_I	1
AG-907-B23	Eleos	1
AG-907-C05	Zorya_type_II	1
AG-907-C11	BREX_type_I	1
AG-907-D10	Zorya_type_II	1
AG-907-D18	RM_type_II	1
AG-907-D19	Eleos	1
AG-907-E06	RM_type_II	1
AG-907-E16	Druantia_type_I	1
AG-907-E22	RM_type_II	1
AG-907-F04	RM_type_I	1
AG-907-F06	RM_type_IIG	1
AG-907-G06	Nhi	1
AG-907-G06	RM_type_IV	1
AG-907-G06	RM_type_I	1
AG-907-G16	RM_type_II	1
AG-907-G23	RM_type_IIG	1
AG-907-I03	RM_type_II	1
AG-907-I07	Druantia_type_II	1
AG-907-I16	RM_type_I	1
AG-907-J09	Eleos	1
AG-907-J09	RM_type_II	1
AG-907-J10	RM_type_II	1
AG-907-K05	RM_type_II	1
AG-907-K09	RM_type_IV	1
AG-907-K13	RM_type_III	1
AG-907-L10	RM_type_I	2
AG-907-L11	Wadjet_type_I	1
AG-907-M08	PsyrTA	1
AG-907-N06	RM_type_IIG	1
AG-907-N21	RM_type_I	1
AG-907-O06	Cas_Class2_TypeII_subtypeC	1
AG-907-P01	RM_type_IIG	1
AG-907-P01	RM_type_II	1
AG-907-P06	RM_type_II	1
AG-907-P15	RM_type_IV	1
AG-907-P16	RM_type_I	1
AG-907-P17	RM_type_II	1
AG-908-A08	PsyrTA	1
AG-908-A11	RM_type_IV	1
AG-908-A22	RM_type_II	1
AG-908-B04	Wadjet_type_I	1
AG-908-B05	RM_type_I	1
AG-908-B06	RM_type_II	1
AG-908-B10	RM_type_II	1
AG-908-B16	RM_type_I	1
AG-908-C09	RM_type_II	1
AG-908-C16	RM_type_I	1
AG-908-C20	RM_type_I	1
AG-908-C23	Eleos	1
AG-908-D05	RM_type_I	1
AG-908-D08	PsyrTA	1
AG-908-D17	RM_type_IIG	1
AG-908-E13	RM_type_I	1
AG-908-E14	Eleos	1
AG-908-E19	RM_type_I	1
AG-908-G22	RM_type_III	1
AG-908-I10	RM_type_IIG	1
AG-908-J14	RM_type_II	1
AG-908-L02	RM_type_II	1
AG-908-L06	SoFic	1
AG-908-L09	RM_type_IV	1
AG-908-L11	RM_type_IV	1
AG-908-M04	RM_type_IIG	1
AG-908-M13	PsyrTA	1
AG-908-M16	SspBCD	1
AG-908-N09	RM_type_IV	1
AG-908-P09	RM_type_II	1
AG-908-P10	RM_type_II	1
AG-908-P16	RM_type_IIG	1
AG-908-P17	RM_type_IV	1
AG-908-P18	PD-T4-3	1
AG-909-A20	RM_type_II	2
AG-909-B23	RM_type_III	1
AG-909-D07	RM_type_I	1
AG-909-E06	RM_type_II	1
AG-909-E18	Zorya_type_II	1
AG-909-F03	RM_type_IV	1
AG-909-F07	RM_type_II	1
AG-909-G18	Eleos	1
AG-909-G18	Pycsar	1
AG-909-G21	Eleos	1
AG-909-I03	RM_type_II	1
AG-909-I15	RM_type_IV	1
AG-909-J09	RM_type_I	1
AG-909-J14	RM_type_IV	1
AG-909-J19	RM_type_I	1
AG-909-J22	RM_type_IIG	1
AG-909-K15	RM_type_IV	1
AG-909-K20	RM_type_IIG	1
AG-909-M13	RM_type_III	1
AG-909-M20	RM_type_II	2
AG-909-N06	RM_type_III	1
AG-909-N08	RM_type_I	1
AG-909-N08	RM_type_IV	1
AG-909-O02	Borvo	1
AG-909-O02	RM_type_I	1
AG-909-O03	RM_type_II	1
AG-909-O03	RM_type_I	1
AG-909-O05	RM_type_IV	2
AG-909-O05	RM_type_II	1
AG-909-O09	RM_type_II	1
AG-909-P05	RM_type_I	1
AG-909-P15	RM_type_II	2
AG-910-A10	PD-T4-3	1
AG-910-A10	RM_type_II	1
AG-910-A14	RM_type_IIG	1
AG-910-A19	RM_type_IV	1
AG-910-A20	RM_type_II	1
AG-910-B21	PD-T4-3	1
AG-910-C21	RM_type_IIG	1
AG-910-C23	RM_type_II	1
AG-910-D13	RM_type_II	2
AG-910-D18	RM_type_IIG	1
AG-910-D19	RM_type_II	1
AG-910-D19	RM_type_IV	1
AG-910-D20	RM_type_I	1
AG-910-E03	RM_type_IV	1
AG-910-E09	RM_type_IIG	1
AG-910-E09	RM_type_II	2
AG-910-E10	RM_type_I	1
AG-910-E13	RM_type_II	1
AG-910-E14	RM_type_I	1
AG-910-E19	Eleos	1
AG-910-E21	RM_type_I	1
AG-910-E22	RM_type_II	1
AG-910-E23	Zorya_type_II	1
AG-910-F02	RM_type_IIG	1
AG-910-F14	Borvo	1
AG-910-G11	RM_type_IIG	1
AG-910-I07	Zorya_type_II	1
AG-910-I14	RM_type_I	1
AG-910-I15	RM_type_II	1
AG-910-J04	RM_type_II	1
AG-910-J11	RM_type_II	1
AG-910-J15	RM_type_II	1
AG-910-J22	RM_type_I	1
AG-910-K06	Zorya_type_I	1
AG-910-K09	RM_type_II	1
AG-910-K09	RM_type_IV	1
AG-910-L06	RM_type_II	1
AG-910-L07	RM_type_I	1
AG-910-L07	RM_type_II	1
AG-910-M02	Eleos	1
AG-910-M06	Eleos	1
AG-910-M10	RM_type_II	1
AG-910-M21	RM_type_IV	1
AG-910-N11	PD-Lambda-1	1
AG-910-O03	RM_type_I	1
AG-910-O05	RM_type_III	1
AG-910-O20	RM_type_I	1
AG-910-O23	Eleos	1
AG-910-P02	RM_type_IIG	1
AG-910-P02	RM_type_II	1
AG-910-P04	RM_type_I	1
AG-910-P08	RM_type_I	1
AG-911-A11	RM_type_II	1
AG-911-A11	RM_type_I	1
AG-911-A15	RM_type_II	1
AG-911-B04	RM_type_II	2
AG-911-B05	RM_type_IIG	1
AG-911-B05	RM_type_II	2
AG-911-B17	RM_type_IV	1
AG-911-B18	Dpd	1
AG-911-B18	RM_type_IIG	1
AG-911-B23	RM_type_I	1
AG-911-C05	RM_type_IV	1
AG-911-C10	Eleos	1
AG-911-C13	RM_type_IV	1
AG-911-C17	RM_type_IIG	1
AG-911-C17	RM_type_II	1
AG-911-D08	RM_type_I	1
AG-911-D09	RM_type_IIG	1
AG-911-E05	RM_type_IIG	1
AG-911-E22	RM_type_IIG	1
AG-911-F21	RM_type_IV	2
AG-911-G02	RM_type_IIG	1
AG-911-G05	RM_type_III	1
AG-911-G10	RM_type_II	1
AG-911-G22	Eleos	1
AG-911-I15	RM_type_IIG	1
AG-911-I15	RM_type_II	1
AG-911-I17	Dpd	1
AG-911-I17	RM_type_II	1
AG-911-I18	RM_type_I	1
AG-911-J02	RM_type_IIG	1
AG-911-J16	RM_type_IIG	2
AG-911-J21	RM_type_II	2
AH-326-N03	RM_type_IIG	1
AH-326-N07	RM_type_I	1
AH-326-N13	RM_type_II	1
AH-326-N22	RM_type_I	1
AH-326-O05	RM_type_I	1
AH-326-P06	RM_type_II	1
AH-326-O21	RM_type_II	2
AH-326-P07	RM_type_I	1
AH-326-P16	RM_type_IIG	1
AG-319-J03	RM_type_II	1
AG-319-L18	RM_type_II	1
AG-325-K07	RM_type_II	2
AG-325-P16	Dpd	1
AG-325-K06	RM_type_IIG	2
AH-326-N04	RM_type_III	1
AH-326-N02	RM_type_III	1
AG-911-P14	Eleos	1
AG-912-A09	RM_type_IIG	1
AG-912-A09	RM_type_II	1
AG-912-B16	RM_type_II	1
AG-912-C06	RM_type_I	1
AG-912-C07	Borvo	1
AG-912-C10	Pycsar	1
AG-912-C20	RM_type_IIG	1
AG-912-D09	RM_type_II	1
AG-912-D14	RM_type_I	1
AG-912-E13	RM_type_III	1
AG-912-F07	RM_type_II	1
AG-912-F17	RM_type_II	1
AG-912-F21	RM_type_IIG	1
AG-912-G03	RM_type_I	1
AG-912-G10	PsyrTA	1
AG-912-I02	RM_type_IIG	1
AG-912-J06	RM_type_II	2
AG-912-J07	RM_type_IIG	1
AG-912-J16	RM_type_II	1
AG-912-K05	RM_type_I	1
AG-912-K17	RM_type_IIG	1
AG-912-L10	RM_type_II	1
AG-912-O02	RM_type_I	1
AG-912-O07	RM_type_I	1
AG-912-P07	RM_type_IV	2
AG-912-P10	RM_type_III	1
AG-912-P17	RM_type_I	1
AG-913-A05	RM_type_IIG	1
AG-913-A06	RM_type_I	1
AG-913-A07	RM_type_IIG	1
AG-913-A16	RM_type_II	1
AG-913-B07	RM_type_IIG	1
AG-913-B07	RM_type_II	1
AG-913-B19	RM_type_I	1
AG-913-B20	Eleos	1
AG-913-B20	RM_type_II	1
AG-913-C06	RM_type_I	1
AG-913-D09	Eleos	1
AG-913-D22	RM_type_II	1
AG-913-E04	RM_type_I	1
AG-913-E07	RM_type_III	1
AG-913-E17	RM_type_II	1
AG-913-F17	Eleos	1
AG-913-G13	PD-T4-3	1
AG-913-G13	RM_type_II	1
AG-913-G17	RM_type_I	1
AG-913-I04	Lamassu_type_I	1
AG-913-I04	Pycsar	1
AG-913-J04	PD-T4-3	1
AG-913-J04	pAgo_type_I	1
AG-913-J07	RM_type_I	1
AG-913-J16	RM_type_I	1
AG-913-J18	PD-T4-3	1
AG-913-J18	RM_type_III	1
AG-913-K07	RM_type_III	1
AG-913-K07	RM_type_IV	1
AG-913-K10	pAgo_type_I	1
AG-913-K11	RM_type_III	1
AG-913-K15	RM_type_II	2
AG-913-L03	RM_type_IV	1
AG-913-L04	RM_type_II	1
AG-913-L07	RM_type_I	1
AG-913-L09	RM_type_II	1
AG-913-L16	RM_type_II	1
AG-913-M03	Lamassu_type_I	1
AG-913-M07	RM_type_II	1
AG-913-M15	Eleos	1
AG-913-M18	RM_type_II	2
AG-913-M18	RM_type_IIG	1
AG-913-M20	RM_type_II	2
AG-913-N02	Zorya_type_II	1
AG-913-N04	Eleos	1
AG-913-N09	RM_type_I	1
AG-913-N15	RM_type_IIG	1
AG-913-N15	RM_type_II	1
AG-913-N17	RM_type_IV	1
AG-913-O03	RM_type_II	2
AG-913-O04	SspBCD	1
AG-913-O18	RM_type_I	1
AG-913-O20	RM_type_II	1
AG-913-O22	RM_type_I	1
AG-913-P02	RM_type_II	1
AG-913-P05	Lamassu_type_I	1
AG-913-P09	PsyrTA	1
AG-913-P09	RM_type_IIG	1
AG-914-A11	RM_type_II	1
AG-914-A14	ShosTA	1
AG-914-A14	RM_type_IV	1
AG-914-A17	RM_type_II	1
AG-914-A22	RM_type_II	1
AG-914-B08	RM_type_IV	1
AG-914-B15	Zorya_type_II	1
AG-914-B17	RM_type_II	2
AG-914-B17	RM_type_IV	1
AG-914-B18	PsyrTA	1
AG-914-C03	RM_type_IV	1
AG-914-C05	RM_type_IV	1
AG-914-C09	DRT_type_VIII	1
AG-914-C20	PD-T4-3	1
AG-914-D20	RM_type_IIG	1
AG-914-E21	RM_type_II	2
AG-914-F03	PD-T4-3	1
AG-914-F09	RM_type_II	1
AG-914-F20	PD-Lambda-1	1
AG-914-G02	Eleos	1
AG-914-G14	RM_type_IV	1
AG-914-G20	RM_type_IV	1
AG-914-G22	RM_type_IIG	1
AG-914-I23	RM_type_IV	1
AG-914-J05	RM_type_I	1
AG-914-J07	Zorya_type_II	1
AG-914-J13	RM_type_I	1
AG-914-J16	Eleos	1
AG-914-K03	PD-T4-3	1
AG-914-K05	RM_type_II	1
AG-914-K10	RM_type_II	1
AG-914-K17	RM_type_I	1
AG-914-K18	RM_type_IV	1
AG-914-K21	RM_type_II	1
AG-914-L02	RM_type_I	1
AG-914-L04	RM_type_I	1
AG-914-L19	RM_type_III	1
AG-914-L20	RM_type_IIG	1
AG-914-L21	RM_type_IIG	1
AG-914-M02	RM_type_II	1
AG-914-M08	RM_type_II	1
AG-914-M09	RM_type_II	2
AG-914-M13	RM_type_I	1
AG-914-N20	RM_type_II	1
AG-914-N21	Eleos	1
AG-914-N21	RM_type_I	1
AG-914-N23	ShosTA	1
AG-914-O05	RM_type_II	1
AG-914-O07	RM_type_II	1
AG-914-O08	RM_type_I	1
AG-914-O11	Eleos	1
AG-914-O11	RM_type_II	1
AG-914-O15	DarTG	1
AG-914-O23	RM_type_II	1
AG-914-P02	RM_type_II	1
AG-914-P04	RM_type_I	1
AG-914-P05	RM_type_II	1
AG-914-P08	RM_type_II	1
AG-914-P14	RM_type_I	1
AG-914-P19	RM_type_III	1
AG-915-A01	RM_type_I	1
AG-915-A06	RM_type_I	1
AG-915-B03	RM_type_II	1
AG-915-B19	RM_type_IIG	1
AG-915-B19	RM_type_II	1
AG-915-B22	Lamassu_type_I	1
AG-915-B22	Zorya_type_I	1
AG-915-B22	RM_type_III	1
AG-915-C06	RM_type_III	1
AG-915-C07	RM_type_II	2
AG-915-C22	RM_type_IIG	1
AG-915-D02	RM_type_I	1
AG-915-D08	RM_type_I	1
AG-915-D19	RM_type_II	2
AG-915-E04	RM_type_I	1
AG-915-E06	RM_type_II	2
AG-915-E09	RM_type_I	1
AG-915-E10	RM_type_IIG	1
AG-915-E13	Zorya_type_I	1
AG-915-F03	RM_type_II	1
AG-915-F07	RM_type_II	1
AG-915-F07	RM_type_IIG	1
AG-915-F11	RM_type_I	1
AG-915-F20	RM_type_IV	1
AG-915-F23	RM_type_I	1
AG-915-G04	RM_type_II	2
AG-915-G06	RM_type_II	2
AG-915-G07	Eleos	1
AG-915-G10	RM_type_IIG	1
AG-915-G17	RM_type_II	2
AG-915-G22	RM_type_II	1
AG-915-I14	RM_type_IV	1
