genome	dataset	cell_diameter_micron	sag_length	completeness	ssu_classification	estimated_length	plate	Domain	Phylum	Class	Order	Family	Genus	Species	Latitude	Longitude	Ocean	Depth	niche_latest	doubling_hours	nonviral_length	viral_length	total_length	prop_viral_length	nonviral_contigs	viral_contigs	total_contigs	prop_viral_contigs	virpres	num_prots	cds_length	defense_genes	defense_gene_sumlen	prop_def_prot	prop_def_lens	pa_fl	AbiU	RM	PsyrTA	dXTPase	Cas	PfiAT	BREX	Lamassu	Retron	Tiamat	SoFic	Eleos	AVAST	ShosTA	AbiE	PD-T4-3	Zorya	Uzume	DarTG	Dpd	DISARM	Azaca	AbiZ	PD-T7-3	PrrC	Mokosh	Viperin	Druantia	AbiD	AbiP2	Dsr	RosmerTA	Shango	CBASS	Pycsar	pAgo	Hhe	PD-Lambda-1	Septu	RL	RloC	Dnd	PD-T7-1	DRT	ApeA	Gabija	Hachiman	SanaTA	Borvo	Kiwa	Wadjet	PARIS	AbiL	TerY	Sefir	PD-T4-4	PD-T7-2	NLR	Qat	PD-T7-4	CapRel	Shedu	Tmn	Ppl	PD-T4-8	PD-T7-5	SspBCDE	Menshen	Thoeris	AbiV	RnlAB	AbiJ	MqsRAC	Mza	PbeABCD	Hma	Her	GAO_29	Pif	Iet	Hydrolase_TM	totaldefenses	defpres	sys_types	sub_types
AG-313-B20	Tropics	<0.5	691593	50	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?	1383186.0	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G11	Unknown	-20.08	-70.8	Southern_Atlantic	20	EPI	5.96164095671915	691593	0	691593	0	41	0	41	0	no	695	663675	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-B22	Tropics	<0.5	776224	58	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?	1338317.2413793104	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G11	MED-G11 sp902509805	-20.08	-70.8	Southern_Atlantic	20	EPI	5.29732952335509	776224	0	776224	0	31	0	31	0	no	785	743466	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-C03	Tropics	<0.5	1348226	69	no SSU regions found	1953950.7246376814	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	SGZJ01	Unknown	-20.08	-70.8	Southern_Atlantic	20	EPI	9.53488731261456	1348226	0	1348226	0	50	0	50	0	no	1278	1284879	2	2181	0.001564945226917	0.0016974361009869	Unknown	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-C04	Tropics	<0.5	1522588	86	no SSU regions found	1770451.1627906978	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Pseudothioglobus	Pseudothioglobus sp902509905	-20.08	-70.8	Southern_Atlantic	20	EPI	12.0065738270432	1522588	0	1522588	0	46	0	46	0	no	1581	1435692	2	1968	0.0012650221378874	0.0013707675462425	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-C08	Tropics	<0.5	902589	56	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	1611766.0714285714	AG-313	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina sp002683085	-20.08	-70.8	Southern_Atlantic	20	EPI	9.20234584861827	902589	0	902589	0	33	0	33	0	no	977	869544	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-C17	Tropics	<0.5	949105	56	no SSU regions found	1694830.357142857	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Pseudothioglobus	Pseudothioglobus sp002169705	-20.08	-70.8	Southern_Atlantic	20	EPI	12.2379713524706	949105	0	949105	0	61	0	61	0	no	1007	897699	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-C18	Tropics	<0.5	893122	57	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	1566880.701754386	AG-313	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina sp902510995	-20.08	-70.8	Southern_Atlantic	20	EPI	8.42203370979109	893122	0	893122	0	35	0	35	0	no	984	860628	2	2019	0.0020325203252032	0.0023459613212677	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-C20	Tropics	<0.5	1041358	52	no SSU regions found	2002611.5384615385	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MS024-2A	Unknown	-20.08	-70.8	Southern_Atlantic	20	EPI	7.0188158167707	1041358	0	1041358	0	67	0	67	0	no	1047	981267	3	6738	0.0028653295128939	0.0068666326290398	Unknown	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-D02	Tropics	<0.5	1081594	57	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	1897533.3333333335	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	D2472	MED-G78	MED-G78 sp902509965	-20.08	-70.8	Southern_Atlantic	20	EPI	11.7156314985808	1081594	0	1081594	0	48	0	48	0	no	1141	1040805	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-D08	Tropics	<0.5	1648056	90	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__ZD0405;g__?;s__?	1831173.3333333333	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Pseudothioglobus	Pseudothioglobus singularis	-20.08	-70.8	Southern_Atlantic	20	EPI	12.6304660671839	1648056	0	1648056	0	25	0	25	0	no	1646	1556862	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-D09	Tropics	<0.5	778331	61	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?	1275952.4590163934	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	AG-422-B15	CACPJE01	CACPJE01 sp902510025	-20.08	-70.8	Southern_Atlantic	20	EPI	9.45585643899623	778331	0	778331	0	49	0	49	0	no	809	745866	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-D11	Tropics	<0.5	1301831	56	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	2324698.214285714	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	D2472	D2472	D2472 sp003284215	-20.08	-70.8	Southern_Atlantic	20	EPI	11.0047751733893	1301831	0	1301831	0	22	0	22	0	no	1309	1249701	2	1578	0.001527883880825	0.0012627020383275	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-D15	Tropics	<0.5	1250184	56	no SSU regions found	2232471.428571428	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	D2472	D2472	D2472 sp003284215	-20.08	-70.8	Southern_Atlantic	20	EPI	10.4393079771264	1250184	0	1250184	0	43	0	43	0	no	1292	1201800	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-D21	Tropics	<0.5	1274096	82	no SSU regions found	1553775.6097560977	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	HIMB59	HIMB59	Unknown	-20.08	-70.8	Southern_Atlantic	20	EPI	12.3788308584151	1195689	78407	1274096	0.0615393188582336	27	1	28	0.0357142857142857	yes	1399	1231857	2	1920	0.0014295925661186	0.0015586224699782	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-E13	Tropics	<0.5	1271886	68	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	1870420.588235294	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	SGZJ01	SGZJ01 sp902515565	-20.08	-70.8	Southern_Atlantic	20	EPI	10.5198210676318	1271886	0	1271886	0	53	0	53	0	no	1179	1213032	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-F06	Tropics	<0.5	2045537	73	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__?;s__?	2802105.479452055	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	MED-G52	MED-G52 sp003332035	-20.08	-70.8	Southern_Atlantic	20	EPI	13.710293881878	2045537	0	2045537	0	79	0	79	0	no	2034	1889628	4	4206	0.0019665683382497	0.0022258349262394	Unknown	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	yes	3	3
AG-313-F11	Tropics	<0.5	1247281	68	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	1834236.7647058822	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G13	MED-G13 sp902510415	-20.08	-70.8	Southern_Atlantic	20	EPI	9.58263997334816	1147760	99521	1247281	0.0797903599910525	62	1	63	0.0158730158730158	yes	1183	1197246	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-F18	Tropics	<0.5	823525	50	no SSU regions found	1647050.0	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G11	MED-G11 sp902509805	-20.08	-70.8	Southern_Atlantic	20	EPI	7.69470541780167	823525	0	823525	0	38	0	38	0	no	838	792546	4	7644	0.0047732696897374	0.0096448660393213	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	yes	1	1
AG-313-G08	Tropics	<0.5	977684	58	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?	1685662.0689655175	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G11	MED-G11 sp902509805	-20.08	-70.8	Southern_Atlantic	20	EPI	7.56335491011089	977684	0	977684	0	53	0	53	0	no	977	941346	3	4872	0.0030706243602865	0.0051755677508588	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-I08	Tropics	<0.5	1231187	61	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	2018339.3442622952	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G13	MED-G13 sp902510475	-20.08	-70.8	Southern_Atlantic	20	EPI	11.0538395138831	1153376	77811	1231187	0.0631999850550728	43	1	44	0.0227272727272727	yes	1093	1184865	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-I09	Tropics	<0.5	832756	55	no SSU regions found	1514101.8181818181	AG-313	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina sp902521955	-20.08	-70.8	Southern_Atlantic	20	EPI	9.41795021181867	832756	0	832756	0	23	0	23	0	no	895	806883	2	1878	0.0022346368715083	0.0023274749870799	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-I14	Tropics	<0.5	1115546	53	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	2104803.7735849055	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MAG-121220-bin8	MAG-121220-bin8 sp902510655	-20.08	-70.8	Southern_Atlantic	20	EPI	7.98139168014152	1115546	0	1115546	0	63	0	63	0	no	1107	1064286	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
