genome,Sample,Sample feature,FACS mode,Estimated cell diameter (μm),WGA-X Cp (h),Raw read count,Assembly size (Mbp),Final contigs count,Max contig length,GC content (%),Genome completeness (%),Estimated genome size (Mbp)
AG-313-C03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.364370597,3351044,1348226,50,118540,30,69,1.95
AG-313-C04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.3120176,3264385,1522588,46,124553,38,86,1.77
AG-313-C05,SWC-01,Oxygenated surface water,Syto9-Prok,0.98,1.430162419,3868013,1429042,72,153562,34,42,
AG-313-C07,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.501715058,3312186,455949,35,75204,34,24,
AG-313-C08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.398325329,3390073,902589,33,124203,34,56,1.61
AG-313-C13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.713932893,432443,413840,48,26433,30,15,
AG-313-C14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.501414485,292119,809147,31,126428,38,36,
AG-313-C17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.511544291,3276139,949105,61,64518,38,56,1.69
AG-313-C18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.434641736,3658252,893122,35,128600,32,57,1.57
AG-313-C20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.590091387,3946242,1041358,67,114150,33,52,2
AG-313-C23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.615419306,4638662,372576,43,59863,37,4,
AG-313-D02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.430611583,3019046,1081594,48,137119,34,57,1.9
AG-313-D03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.004689664,517263,50418,12,7236,31,2,
AG-313-D04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.242742026,593040,63638,19,6018,39,5,
AG-313-D06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.899279203,536271,162761,8,66712,33,0,
AG-313-D08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.3726764,3178981,1648056,25,260213,37,90,1.83
AG-313-D09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.521597384,3398433,778331,49,69766,33,61,1.28
AG-313-D10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.698036348,500847,362207,40,33608,30,32,
AG-313-D11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.387186201,12610703,1301831,22,345024,36,56,2.32
AG-313-D14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.494547851,507634,50179,13,6451,30,2,
AG-313-D15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.465623168,8748523,1250184,43,176951,36,56,2.23
AG-313-D16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.660675913,3471942,492405,54,48011,29,24,
AG-313-D17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.723758571,290394,349843,37,24500,30,25,
AG-313-D18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.747311291,543426,482379,50,52531,29,38,
AG-313-D19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.283766049,556635,139027,23,14830,28,17,
AG-313-D20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.058029584,399098,186068,32,12268,29,16,
AG-313-D21,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.493065655,3610674,1274096,28,241727,30,82,1.55
AG-313-D23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.79458265,330803,231824,30,17630,29,9,
AG-313-E05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.83072895,441361,142790,16,17143,37,0,
AG-313-E06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.612372679,3338145,348110,59,19613,39,5,
AG-313-E08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.876768635,593583,157081,37,8352,35,5,
AG-313-E09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.747454963,614842,176828,40,10370,29,8,
AG-313-E13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.413911388,3356026,1271886,53,166971,30,68,1.87
AG-313-E14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.915017712,616771,161977,27,16620,31,11,
AG-313-E15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.633680395,428884,307577,41,25827,29,19,
AG-313-E16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.714991717,473816,209980,36,16072,29,0,
AG-313-E21,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.761077064,413199,211591,29,18943,28,13,
AG-313-E23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.450376237,4124537,262732,28,23088,38,12,
AG-313-F04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.850793952,369415,232973,41,15736,31,16,
AG-313-F05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.828956711,327096,582775,42,47963,34,32,
AG-313-F06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.321987816,3397707,2045537,79,273420,40,73,2.8
AG-313-F09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.899001248,548157,156533,29,11622,30,0,
AG-313-F10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.882491238,449532,60977,12,10294,34,1,
AG-313-F11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.403398674,3679292,1247281,63,107968,30,68,1.83
AG-313-F17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.609185731,4436955,807385,67,76289,28,45,
AG-313-F18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.36981545,425520,823525,38,78703,30,50,1.65
AG-313-F19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,,370585,795832,38,150615,45,36,
AG-313-F20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.508258195,3450924,746747,49,50022,30,46,
AG-313-G03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.489357458,4082881,928047,115,55593,51,13,
AG-313-G04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.914616383,428213,123585,24,16448,29,8,
AG-313-G06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.644699953,3805645,606539,68,53628,29,38,
AG-313-G08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.503180347,3261266,977684,53,116517,30,58,1.69
AG-313-G10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.841753436,333773,105202,19,11925,29,5,
AG-313-G11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.495933002,227527,587410,43,64953,29,38,
AG-313-G17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.781486617,418704,377975,44,28777,29,27,
AG-313-G19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.575277052,3980913,428723,61,20948,29,19,
AG-313-G20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.56374907,466184,465455,51,22701,29,28,
AG-313-G22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.739191685,498403,146884,30,12913,30,13,
AG-313-I02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.159395036,477036,55396,10,17395,29,4,
AG-313-I04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.930096211,442111,296487,49,20183,29,27,
AG-313-I05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.696219169,367083,249566,32,30198,36,20,
AG-313-I06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.710292131,405193,405212,42,23837,29,25,
AG-313-I07,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.037054952,244794,110022,25,9777,37,0,
AG-313-I08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.473741204,3267852,1231187,44,114872,31,61,2.02
AG-313-I09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.686527946,3794032,832756,23,164122,33,55,1.51
AG-313-I11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.817338813,443502,376791,50,18361,30,28,
AG-313-I13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.44139298,3948661,880431,38,111079,34,41,
AG-313-I14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.490211944,4496944,1115546,63,99320,30,53,2.1
AG-313-I15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.571761913,4263439,912511,71,81790,28,62,1.47
AG-313-I16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.847583675,408126,284258,39,19105,30,29,
AG-313-I17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.391107798,3738274,1162537,59,94927,31,59,1.97
AG-313-I18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.515802138,3873680,584510,43,52161,29,55,1.06
AG-313-I19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.773647426,833702,143629,31,10464,36,0,
AG-313-I22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.365667351,3359445,873020,47,138308,34,49,
AG-313-J03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.632330333,3304310,457240,56,29432,46,8,
AG-313-J04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.60558213,3828999,1228686,61,68026,31,52,2.36
AG-313-J05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.716364117,372235,425213,49,35314,29,32,
AG-313-J06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.759756071,359588,207784,22,58787,36,7,
AG-313-J08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.831460854,382991,478703,55,54039,32,18,
AG-313-J09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.840254085,550168,20856,7,4365,30,0,
AG-313-J10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.443912263,3133817,1495280,47,154046,30,74,2.02
AG-313-J11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.653018218,3861239,376935,38,51676,28,19,
AG-313-J13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.589380038,3748660,824019,58,60644,30,65,1.27
AG-313-J14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.422625337,207137,486320,31,86894,36,18,
AG-313-J15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.481689395,3918163,1221475,68,232572,37,52,2.35
AG-313-J16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.218237204,541994,46187,12,7705,31,0,
AG-313-J17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.415862593,3717759,1636714,100,103414,41,59,2.77
AG-313-J19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.522263958,3119371,723650,57,42205,30,56,1.29
AG-313-J22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.367609514,4832680,1287161,57,102414,30,68,1.89
AG-313-K04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.140665445,377848,91920,19,10125,31,4,
AG-313-K05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.704392263,285023,413081,18,70807,30,15,
AG-313-K06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.519502615,251113,28391,1,28391,39,0,
AG-313-K08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.801892808,287721,750579,52,59028,30,42,
AG-313-K09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.229251547,467343,60116,9,17958,29,0,
AG-313-K10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.954265516,355349,243314,31,19900,29,28,
AG-313-K11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.117306682,443644,106601,17,14456,29,8,
AG-313-K13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.030586462,838353,52301,11,9401,29,4,
AG-313-K14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.741293378,303003,339694,34,40550,30,11,
AG-313-K15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.510117699,2783672,862548,90,39547,46,26,
AG-313-K16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.531552269,3096383,2199285,138,145949,39,57,3.86
AG-313-K17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.900086633,487352,197280,22,22327,29,15,
AG-313-K18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.397135103,242044,677216,26,181421,33,32,
AG-313-K22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.59630667,3800568,475847,40,52291,29,32,
AG-313-K23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.711419601,338898,100660,7,38095,31,0,
AG-313-L02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.728293743,208183,397613,37,38264,37,24,
AG-313-L03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.108177794,202110,400530,47,26093,39,12,
AG-313-L04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.799849891,461576,346194,25,71055,29,25,
AG-313-L05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.662624196,3273549,1550842,51,147962,30,77,2.01
AG-313-L06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.315912269,456967,80379,18,12244,29,4,
AG-313-L08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.944397844,450819,143429,17,25144,29,8,
AG-313-L09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.729834941,477388,404900,34,65839,30,23,
AG-313-L10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.5726199,3533699,1132170,47,106604,36,53,2.14
AG-313-L13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.837562286,447521,143480,16,21834,29,20,
AG-313-L14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.585889211,3535192,981936,32,115230,32,67,1.47
AG-313-L15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.059174243,287700,517991,47,46057,30,24,
AG-313-L16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.433818,3793418,1010970,68,76832,43,32,
AG-313-L17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.969385601,696254,110642,24,10304,38,7,
AG-313-L18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.406548283,3619702,1302349,35,190461,39,69,1.89
AG-313-L19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.475998612,3462229,810433,37,87097,34,61,1.33
AG-313-L20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.168521616,637591,239607,22,27856,29,13,
AG-313-L21,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.448191337,4319645,846662,54,71298,38,61,1.39
AG-313-L22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.489642415,3858549,602431,52,63678,30,28,
AG-313-L23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.595373893,3839102,451418,48,40046,29,36,
AG-313-M02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.873880388,506166,54709,18,5461,29,0,
AG-313-M04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.774958288,240338,534855,40,53910,30,31,
AG-313-M05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.746593859,408084,51020,10,9274,35,0,
AG-313-M06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.430569537,336629,207756,31,24877,29,11,
AG-313-M07,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.19190645,374219,61255,7,20176,28,0,
AG-313-M08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.718524313,347823,704487,62,37472,32,24,
AG-313-M09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.643032498,923188,583478,28,79302,34,34,
AG-313-M10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.659991589,3901445,973581,55,78690,29,79,1.23
AG-313-M11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.517961531,3516797,1112122,39,121111,36,72,1.54
AG-313-M14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.742981675,327687,433352,19,103095,30,23,
AG-313-M16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.428099948,898475,1172738,75,71982,42,23,
AG-313-M18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.705684509,391629,462811,38,68577,32,24,
AG-313-M20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.472207815,3721914,858772,54,75714,36,45,
AG-313-M21,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.675053197,3924116,906325,51,68059,30,62,1.46
AG-313-M22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.813986328,353524,317024,39,36261,29,20,
AG-313-N02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.653600324,156528,36500,11,6533,48,0,
AG-313-N03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.763916394,235799,449104,48,47097,29,43,
AG-313-N04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.023344375,320059,158735,23,17117,30,11,
AG-313-N05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.478196814,275360,66526,13,9635,30,0,
AG-313-N06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.919442314,312350,151752,8,49738,29,11,
AG-313-N07,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.918817304,276263,138571,19,25231,30,13,
AG-313-N11,SWC-01,Oxygenated surface water,Syto9-Prok,0.6,1.40828432,75527,312408,35,52617,53,0,
AG-313-N13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.629510392,3852888,1121101,49,112070,30,58,1.93
AG-313-N14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.249794889,361222,156802,26,20015,29,0,
AG-313-N15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.64973565,401386,813560,54,74406,31,43,
AG-313-N16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.777136077,278441,322213,37,49366,29,24,
AG-313-N17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.136259319,304258,468008,41,42125,30,24,
AG-313-N18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.536794317,8542724,1201907,45,141447,36,60,2
AG-313-N19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.960863763,805397,27284,9,3739,30,4,
AG-313-N20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.673466884,3652529,722140,46,82650,29,40,
AG-313-N21,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.948441229,493851,136936,20,14282,30,14,
AG-313-N22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.577592762,4154030,1035178,74,64978,32,47,
AG-313-O03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.815909187,315931,239095,30,21810,30,19,
AG-313-O04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.941625447,289507,84887,16,17923,34,0,
AG-313-O05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.883730487,366445,245815,28,22387,29,9,
AG-313-O06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.900573388,319750,192085,31,22808,29,13,
AG-313-O08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.640058402,3223156,1136481,66,83436,36,53,2.14
AG-313-O09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.611278434,3268363,723776,42,99715,38,41,
AG-313-O10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.111955227,436374,204407,27,13911,30,8,
AG-313-O13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.923552747,728185,455262,45,28622,29,45,
AG-313-O16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.799051289,388991,352324,41,44900,29,18,
AG-313-O17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.061391311,341509,169117,21,17693,29,13,
AG-313-O19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.495647398,182778,577992,36,98084,38,31,
AG-313-O21,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.77159368,281366,380914,39,25724,38,16,
AG-313-O22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.949498247,397697,305814,36,29225,30,13,
AG-313-O23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.236616274,458003,106882,20,13836,28,0,
AG-313-P01,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.705136933,333910,371480,30,38224,32,17,
AG-313-P02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.77552016,416424,355818,41,31173,29,23,
AG-313-P05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.826025147,113471,144379,22,29391,51,3,
AG-313-P06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.745593547,274099,518938,47,36802,30,28,
AG-313-P07,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.629597374,2867276,887090,55,80979,36,29,
AG-313-P08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.912236038,404725,347590,32,39498,29,25,
AG-313-P09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.756454307,258158,565932,37,72495,31,31,
AG-313-P13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.740596551,389203,655269,48,55337,30,40,
AG-313-P14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.669258287,248898,430787,26,65795,34,13,
AG-313-P15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.54163486,2918961,961259,55,69505,44,31,
AG-313-P16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.490526025,3601712,1392882,25,208582,36,62,2.25
AG-313-P17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.875233778,378827,402371,35,33669,29,25,
AG-313-P18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.891321023,748397,206950,27,26568,30,13,
AG-313-P19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.926608116,397824,175066,16,31309,29,17,
AG-313-P20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.833544638,236709,353984,33,32661,32,11,
AG-313-P22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.55366928,360099,112793,23,10840,27,6,
AG-313-P23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.952617536,268263,223686,33,22109,32,4,
AG-319-A01,SWC-02,"Secondary DCM, oxygen deplete",Syto9-Prok,<0.5,1.647056648,3857708,757834,57,57894,33,57,1.33
AG-319-A02,SWC-02,"Secondary DCM, oxygen deplete",Syto9-Prok,<0.5,1.636265446,3085311,1156227,67,140237,30,54,2.14
AG-319-A04,SWC-02,"Secondary DCM, oxygen deplete",Syto9-Prok,<0.5,1.853359496,2889851,610206,46,51413,30,56,1.09
