genome	system	instances
AM-262-K06	RM	1
AM-262-K23	RM	1
AM-262-L23	AbiU	1
AM-262-M05	RM	1
AM-262-M06	Tiamat	1
AM-262-M06	RM	1
AM-262-M10	RM	2
AM-262-M11	AbiU	1
AM-262-M11	RM	1
AM-262-M21	RM	1
AM-262-O09	AbiU	1
AM-262-O13	AbiU	1
AM-262-O14	RM	1
AM-262-P09	AbiU	1
AM-262-P20	RM	1
AM-264-A21	RM	2
AM-264-A23	RM	1
AM-264-B04	AbiU	1
AM-264-B07	RM	1
AM-264-B09	RM	1
AM-264-C04	AbiU	1
AM-264-C14	PsyrTA	1
AM-264-D02	ShosTA	1
AM-264-D22	RM	1
AM-264-F06	AbiU	1
AM-264-F18	Zorya	1
AM-264-F23	RM	1
AM-264-G02	RM	1
AM-264-G04	AbiU	1
AM-264-I04	AbiU	1
AM-264-I13	AbiU	1
AM-264-I13	RM	1
AM-264-J02	RM	2
AM-264-J17	AbiU	1
AM-264-J19	RM	1
AM-264-K05	RM	1
AM-264-M04	RM	2
AM-264-M16	RM	1
AM-264-N04	PsyrTA	1
AM-264-N11	RM	2
AM-264-N14	RM	1
AM-264-N20	RM	1
AM-264-O17	RM	1
AM-264-P05	RM	2
AM-264-P08	RM	2
AM-264-P09	AbiU	1
AM-264-P09	RM	1
AM-264-P19	Lamassu	1
AM-276-A07	dXTPase	1
AM-276-A07	SoFic	1
AM-276-A07	RM	2
AM-276-A15	DISARM	1
AM-276-A15	SoFic	1
AM-276-A16	DISARM	1
AM-276-A16	PfiAT	1
AM-276-A16	RM	2
AM-276-A21	SoFic	1
AM-276-A21	RM	1
AM-276-B06	Eleos	1
AM-276-B06	Cas	1
AM-276-B07	dXTPase	1
AM-276-B07	PfiAT	1
AM-276-B07	RM	2
AM-276-B07	Cas	1
AM-276-B13	RM	1
AM-276-B16	RM	1
AM-276-B19	AbiU	1
AM-276-B19	RM	1
AM-276-B22	AVAST	1
AM-276-B22	RM	3
AM-276-C05	RM	1
AM-276-C09	RM	2
AM-276-C10	AbiE	1
AM-276-C10	PD-T7-2	1
AM-276-C10	RM	1
AM-276-C11	RM	1
AM-276-C14	RM	2
AM-276-C17	ShosTA	1
AM-276-C18	RM	2
AM-276-C22	RM	1
AM-276-C23	RM	1
AM-276-D03	RM	1
AM-276-D08	RM	1
AM-276-D11	Azaca	1
AM-276-D11	RM	3
AM-276-D15	RM	2
AM-276-E02	RM	1
AM-276-E06	AbiU	1
AM-276-E10	RM	3
AM-276-E14	AbiU	1
AM-276-E22	AbiU	1
AM-276-F04	RM	1
AH-470-F04	RM	1
AH-470-F08	RM	1
AH-470-F09	AbiU	1
AH-470-F09	RM	1
AH-470-F11	Zorya	1
AH-470-G16	AbiU	1
AH-470-I02	RM	1
AH-470-I04	AbiU	1
AH-470-I10	dXTPase	1
AH-470-I11	Hhe	2
AH-470-I16	dXTPase	1
AH-470-J03	AbiU	1
AH-470-M03	RM	1
AH-470-M05	RM	1
AH-470-M11	AbiE	1
AH-470-M20	SspBCDE	1
AH-470-N03	BREX	1
AH-470-N04	RM	2
AH-470-N05	RM	1
AH-470-N22	SoFic	1
AH-470-O06	Eleos	1
AH-470-O06	SoFic	1
AH-470-O08	RM	2
AH-470-O17	RM	1
AH-470-P11	RM	2
AH-473-B18	RM	1
AH-473-C03	AbiE	1
AH-473-C06	RM	1
AH-473-F09	RM	1
AH-473-I02	dXTPase	1
AH-473-J03	PD-T4-3	1
AH-473-J17	RM	2
AH-473-J19	AbiU	1
AH-473-K13	AbiU	1
AH-473-L02	AbiU	1
AH-473-M06	RM	2
AH-473-N02	RM	2
AH-562-A02	dXTPase	1
AH-562-A02	RM	1
AH-562-A05	AbiU	1
AH-562-A05	RM	1
AH-562-A10	PsyrTA	1
AH-562-A15	AbiU	1
AH-562-A17	RM	2
AH-562-A22	RM	1
AH-562-B18	RM	2
AH-562-C03	AbiU	1
AH-562-C06	AbiU	1
AH-562-C06	RM	1
AH-562-C23	RM	1
AH-562-D04	Azaca	1
AH-562-D04	RM	1
AH-562-D05	RM	1
AH-562-E05	RM	1
AH-562-E08	RM	2
AH-562-E20	RM	2
AH-562-F04	AbiU	1
AH-562-F10	AbiU	1
AH-562-F13	AbiU	1
AH-562-F16	RM	1
AH-562-F18	RM	1
AH-562-F22	Retron	1
AH-562-G06	Viperin	1
AH-562-G15	RM	1
AH-562-G16	AbiU	1
AH-562-G16	Dnd	1
AH-562-I02	ShosTA	1
AH-562-I07	AbiU	1
AH-562-I08	AbiU	1
AH-562-I08	RM	1
AH-562-I09	PD-T4-3	1
AH-562-I13	AbiU	1
AH-562-I16	Dnd	1
AH-562-I16	RM	1
AH-562-I17	AbiU	1
AH-562-I19	RM	1
AH-562-I22	RM	1
AH-562-J21	RM	1
AH-562-J23	AbiU	1
AH-562-J23	RM	1
AH-562-K02	DarTG	1
AH-562-K02	RM	1
AH-562-K04	Lamassu	1
AH-562-K05	RM	1
AH-562-K09	RM	1
AH-562-K10	RM	2
AH-562-K20	RM	1
AH-562-K22	RM	1
AH-562-L04	PsyrTA	1
AH-562-L11	PsyrTA	1
AH-562-L11	Druantia	1
AH-562-L11	RM	1
AH-562-L14	RM	2
AH-562-L20	RM	1
AH-562-M16	RM	1
AH-562-N09	AbiU	1
AH-562-N19	RM	1
AH-562-O10	AbiU	1
AH-573-A07	RM	2
AH-573-A13	RM	1
AH-573-A14	AbiE	1
AH-573-A14	RM	1
AH-573-A19	AbiU	1
AH-573-B05	PsyrTA	1
AH-573-B06	Mokosh	1
AH-573-B11	RM	1
AH-573-B17	AbiU	1
AH-573-B17	RM	1
AH-573-B20	Zorya	1
AH-573-B23	RM	4
AH-573-C03	AbiU	1
AH-573-C03	RM	1
AH-573-E20	ShosTA	1
AH-573-E21	AbiU	1
AH-573-F03	AbiU	1
AH-573-F03	RM	1
AH-573-F06	AbiU	1
AH-573-F06	ShosTA	1
AH-573-F11	RM	1
AH-573-F13	RM	1
AH-573-F17	RM	2
AH-573-G03	dXTPase	1
AH-573-G10	AbiU	1
AH-573-G13	RM	1
AH-573-G19	AbiU	1
AH-573-G20	Zorya	1
AH-573-G20	Uzume	1
AH-573-G20	RM	1
AH-573-I15	RM	2
AH-573-I18	Lamassu	1
AH-573-I20	RM	1
AH-573-I21	RM	1
AH-573-J18	AbiU	1
AH-573-K10	AbiU	1
AH-573-K14	PsyrTA	1
AH-573-K21	PsyrTA	1
AH-573-K23	AbiU	1
AH-573-L10	RM	1
AH-573-L16	AbiU	1
AH-573-L18	RM	1
AH-573-L23	PsyrTA	1
AH-573-M04	AbiU	1
AH-573-M04	RM	1
AH-573-M06	PD-T4-3	1
AH-573-M10	RM	1
AH-573-M16	PsyrTA	1
AH-573-N02	RM	2
AH-573-N11	Dpd	1
AH-573-N11	Cas	1
AH-573-N13	RM	2
AH-573-N17	RM	1
AH-573-N18	SoFic	1
AH-573-N19	RM	1
AH-573-O03	RM	1
AH-573-O04	RM	1
AH-573-O06	PsyrTA	1
AH-573-O11	Cas	1
AH-573-O13	RM	1
AH-573-O17	PD-T4-3	1
AH-573-O18	RM	2
AH-573-O21	RM	2
AH-573-O22	Zorya	1
AH-573-P02	RM	2
AH-573-P08	AbiU	1
AH-573-P08	RM	2
AH-573-P15	RM	1
AH-573-P19	RM	1
AH-611-A02	AbiU	1
AH-611-A09	SanaTA	1
AH-611-A09	RM	1
AH-611-A09	Cas	1
AH-611-A17	NLR	1
AH-611-A17	RM	1
AH-611-A20	RM	1
AH-611-A22	AbiU	1
AH-611-B22	RM	2
AH-611-C03	RM	1
AH-611-C19	Retron	1
AH-611-D03	PsyrTA	1
AH-611-D16	RM	1
AH-611-D23	RM	1
AH-611-E06	RM	1
AH-611-E09	SoFic	1
AH-611-E10	DISARM	1
AH-611-E10	RM	2
AH-611-E11	RM	1
AH-611-E15	RM	1
AH-611-E16	RM	1
AH-611-E18	PD-T4-9	1
AH-611-E20	RM	1
AH-611-E22	RM	1
AH-611-F08	AbiU	1
AH-611-F10	AbiU	1
AH-611-F22	AbiE	1
AH-611-F22	AbiZ	1
AH-611-F22	PD-T7-3	1
AH-611-G02	RM	1
AH-611-G09	RM	1
AH-611-G21	SoFic	1
AH-611-G21	Retron	1
AH-611-G21	RM	1
AH-611-G23	Iet	1
AH-611-G23	Gabija	1
AH-611-I11	RM	1
AH-611-I23	RM	2
AH-611-J03	RM	1
AH-611-J14	dXTPase	1
AH-611-J14	PD-T7-2	1
AH-611-J14	RosmerTA	1
AH-611-J14	RM	2
AH-611-J20	AbiE	2
AH-611-J20	RM	1
AH-611-J20	PrrC	1
AH-611-K11	Gabija	1
AH-611-K11	Iet	1
AH-611-K11	RloC	1
AH-611-K11	PD-T7-2	1
AH-611-K11	Zorya	1
AH-611-K11	RM	3
AH-611-K14	PsyrTA	1
AH-611-K14	RM	1
AH-611-K17	DarTG	1
AH-611-K17	Dpd	1
AH-611-K17	Retron	1
AH-611-K17	RM	1
AH-611-K17	Cas	1
AH-611-K18	AbiE	1
AH-611-K18	PD-T7-3	1
AH-611-K18	SoFic	1
AH-611-K18	RM	1
AH-611-K23	RM	1
AH-611-L03	Lamassu	1
AH-611-L08	RM	1
AH-611-L11	Lamassu	1
AH-611-L11	RM	1
AH-611-L15	RM	1
AH-611-L17	AbiE	2
AH-611-L17	AbiZ	1
AH-611-L17	SoFic	2
AH-611-L17	PrrC	1
AH-611-L17	RM	1
AH-611-L20	AbiE	2
AH-611-L20	PD-T7-3	1
AH-611-L20	PrrC	1
AH-611-L20	RM	1
AH-611-L21	AbiU	1
AH-611-M03	AbiE	1
AH-611-M03	AbiZ	2
AH-611-M03	SoFic	1
AH-611-M03	PrrC	1
AH-611-M03	RM	2
AH-611-M06	dXTPase	1
AH-611-M06	DISARM	1
AH-611-M06	RM	1
AH-611-M09	PD-T4-3	1
AH-611-M10	PsyrTA	1
AH-611-M13	RM	1
AH-611-M15	AbiE	2
AH-611-M15	SoFic	1
AH-611-M15	RM	1
AH-611-M17	DISARM	1
AH-611-M17	PD-T4-3	1
AH-611-M19	AbiE	2
AH-611-M19	SoFic	1
AH-611-M19	RM	1
AH-611-M22	AbiE	1
AH-611-M22	RM	1
AH-611-N03	AbiU	1
AH-611-N07	PsyrTA	1
AH-611-N07	Azaca	1
AH-611-N07	RM	1
AH-611-N08	AbiE	2
AH-611-N08	RM	2
AH-611-N08	PrrC	1
AH-611-N09	RM	1
AH-611-N11	RM	1
AH-611-N13	PsyrTA	1
AH-611-N14	AbiE	2
AH-611-N14	AbiZ	1
AH-611-N14	PD-T7-3	1
AH-611-N14	SoFic	1
AH-611-N14	RM	2
AH-611-N14	PrrC	1
AH-611-N15	AbiE	1
AH-611-N15	SoFic	1
AH-611-N15	PrrC	1
AH-611-N16	AbiE	1
AH-611-N16	PD-T7-3	1
AH-611-N16	SoFic	1
AH-611-N16	RM	1
AH-611-N16	PrrC	1
AH-611-N17	PsyrTA	1
AH-611-N17	RM	2
AH-611-O05	RM	1
AH-611-O06	AbiU	1
AH-611-O06	RM	1
AH-611-O07	RM	1
AH-611-O10	dXTPase	1
AH-611-O10	Viperin	1
AH-611-O10	PD-T7-2	1
AH-611-O10	RM	2
AH-611-O14	RM	1
AH-611-O22	RM	1
AH-611-O23	AbiE	2
AH-611-O23	AbiZ	1
AH-611-O23	PD-T7-3	1
AH-611-O23	SoFic	2
AH-611-O23	RM	1
AH-611-O23	PrrC	1
AH-611-P10	PD-T4-3	1
AH-611-P13	SanaTA	1
AH-611-P14	AbiE	1
AH-611-P14	AbiZ	1
AH-611-P14	PD-T7-3	1
AH-611-P14	SoFic	1
AH-611-P15	RM	1
AH-611-P16	RM	1
AH-611-P19	AbiE	1
AH-611-P19	SoFic	1
AH-611-P19	RM	1
AH-613-A01	AbiD	1
AH-613-A01	Septu	1
AH-613-A01	RM	2
AH-613-A02	NLR	1
AH-613-A02	PD-T4-7	1
AH-613-A02	RM	2
AH-613-A03	dXTPase	1
AH-613-A11	RM	1
AH-613-A18	RM	2
AH-613-B17	RM	1
AH-613-C09	RM	3
AM-276-F08	RM	2
AM-276-F13	RL	1
AM-276-F13	PfiAT	1
AM-276-F13	RM	3
AM-276-F14	RM	1
AM-276-F22	AbiU	1
AM-276-G10	SoFic	1
AM-276-G10	RM	4
AM-276-G15	AbiU	1
AM-276-G18	AbiU	1
AM-276-G23	AbiU	1
AM-276-I08	pAgo	1
AM-276-I08	RM	1
AM-276-I13	SoFic	1
AM-276-I13	BREX	1
AM-276-I18	dXTPase	1
AM-276-I18	PD-T7-2	1
AM-276-I18	PfiAT	1
AM-276-I18	RM	2
AM-276-I19	RM	1
AM-276-I20	Retron	1
AM-276-I20	RM	1
AM-276-J09	RM	1
AH-613-C15	AbiU	1
AH-613-C15	RM	1
AH-613-C20	RM	1
AH-613-D20	RM	1
AH-613-E17	RM	1
AH-613-E19	dXTPase	1
AH-613-E21	AbiU	1
AH-613-F11	Hhe	1
AH-613-F23	RM	1
AH-613-G09	RM	1
AH-613-G13	RM	1
AH-613-G14	Dnd	1
AH-613-G22	RM	1
AH-613-I03	Retron	1
AH-613-I10	dXTPase	1
AH-613-I10	AbiE	1
AH-613-I11	RM	2
AH-613-I13	RM	1
AH-613-I18	Septu	1
AH-613-I18	PARIS	1
AH-613-I18	RosmerTA	1
AH-613-I18	RM	4
AH-613-I20	RM	3
AH-613-J06	AbiU	1
AH-613-J16	PD-T4-3	1
AH-613-J19	PfiAT	1
AH-613-J19	SanaTA	1
AH-613-J19	RM	2
AH-613-J19	PrrC	1
AH-613-J22	Mza	1
AH-613-K03	RM	1
AH-613-K06	RM	3
AH-613-L16	Retron	1
AH-613-L18	Dpd	1
AH-613-L18	Cas	2
AH-613-M05	RM	1
AH-613-M13	RM	1
AH-613-M14	RM	1
AH-613-M15	RM	1
AH-613-N08	RM	1
AH-613-O02	AbiU	1
AH-613-O06	RM	1
AH-613-O09	RM	1
AH-613-O10	Mokosh	1
AH-613-P04	RM	1
AH-613-P05	RM	1
AH-613-P09	AbiU	1
AH-735-A07	dXTPase	1
AH-735-A08	Retron	1
AH-735-A08	RM	1
AH-735-A13	SspBCDE	1
AH-735-A16	RM	2
AH-735-A17	RM	2
AH-735-A22	RM	1
AH-735-A23	Dnd	1
AH-735-B06	AbiU	1
AH-735-B06	RM	1
AH-735-B08	AbiU	1
AH-735-B08	RM	1
AH-735-B09	RM	2
AH-735-B13	Mokosh	1
AH-735-B21	RM	1
AH-735-B22	RM	1
AH-735-B23	RM	1
AH-735-C03	RM	1
AH-735-C06	dXTPase	1
AH-735-C13	RM	1
AH-735-C16	RM	1
AH-735-C18	RM	1
AH-735-C19	RM	1
AH-735-C20	RM	1
AH-735-D04	RM	1
AH-735-D17	RM	1
AH-735-D21	dXTPase	1
AH-735-D21	Dpd	1
AH-735-D22	Zorya	1
AH-735-E03	AbiU	1
AH-735-E03	RM	1
AH-735-E07	RM	2
AH-735-E08	RM	1
AH-735-E17	RM	1
AH-735-E19	Dpd	1
AH-735-E22	dXTPase	1
AH-735-F04	RM	1
AH-735-F16	RM	1
AH-735-F19	RM	1
AH-735-F22	PsyrTA	1
AH-735-G10	Uzume	1
AH-735-G10	RM	1
AH-735-G20	RM	1
AH-735-G22	RM	1
AH-735-G23	dXTPase	1
AH-735-I03	PsyrTA	1
AH-735-I14	RM	1
AH-735-I15	AbiU	1
AH-735-I15	RM	1
AH-735-I20	ShosTA	1
AH-735-I20	RM	1
AH-735-I22	ShosTA	1
AH-735-J06	Retron	1
AH-735-J08	Dpd	1
AH-735-J08	RM	2
AH-735-J09	Cas	1
AH-735-J16	RM	2
AH-735-K05	ShosTA	1
AH-735-K05	RM	3
AH-735-K06	RM	1
AH-735-K17	AbiU	1
AH-735-L05	AbiU	1
AH-735-L11	Eleos	1
AH-735-L15	AbiU	1
AH-735-L15	ShosTA	1
AH-735-L18	Retron	1
AH-735-L19	AbiU	1
AH-735-L20	RM	2
AH-735-L23	Dpd	2
AH-735-M02	Mokosh	1
AH-735-M03	RM	1
AH-735-M05	RM	1
AH-735-M06	dXTPase	1
AH-735-M06	RM	2
AH-735-M08	RM	1
AH-735-M10	RM	1
AH-735-M13	AbiU	1
AH-735-M16	dXTPase	1
AH-735-M19	PsyrTA	1
AH-735-N03	RM	2
AH-735-N04	PsyrTA	1
AH-735-N05	RM	2
AH-735-N07	RM	3
AH-735-N11	RM	2
AH-735-N14	RM	2
AH-735-N17	RM	2
AH-735-N18	dXTPase	1
AH-735-O09	RM	2
AH-735-P02	Tiamat	2
AH-735-P02	BREX	1
AH-735-P02	RM	1
AH-735-P07	RM	1
AH-735-P08	RM	1
AH-735-P11	AbiU	1
AH-735-P14	AbiU	1
AH-735-P14	DarTG	1
AH-888-A05	PsyrTA	1
AH-888-A10	RM	1
AH-888-A11	RM	1
AH-888-C09	Dpd	1
AH-888-C11	AbiU	1
AH-888-C11	RM	2
AH-888-D07	PsyrTA	1
AH-888-D07	RM	2
AH-888-D08	AbiU	1
AH-888-D09	RM	4
AH-888-D14	RM	1
AH-888-D17	Viperin	1
AH-888-D17	Septu	2
AH-888-D17	CBASS	1
AH-888-D17	RM	3
AH-888-D17	Cas	2
AH-888-D18	Dpd	1
AH-888-D18	RM	1
AH-888-D20	dXTPase	1
AH-888-E07	Dnd	1
AH-888-E09	RM	4
AH-888-E10	RM	1
AH-888-F17	Retron	1
AH-888-F23	RM	3
AH-888-G02	RM	1
AM-276-J15	RM	1
AM-276-J15	Cas	1
AM-276-J17	AbiU	1
AM-276-J17	PD-T7-2	1
AM-276-J17	RM	3
AM-276-J17	Cas	1
AM-276-J21	AbiU	1
AM-276-J21	RM	1
AM-276-J22	Mokosh	1
AM-276-K04	RM	1
AM-276-K07	AbiU	1
AM-276-K09	Mokosh	1
AM-276-K14	Druantia	1
AM-276-K14	RM	3
AM-276-K18	RM	2
AM-276-K19	AbiU	1
AM-276-K21	dXTPase	2
AM-276-K21	PfiAT	1
AM-276-L02	PARIS	1
AM-276-L02	SanaTA	1
AM-276-L02	RM	2
AM-276-L09	ShosTA	1
AM-276-L09	PD-Lambda-1	1
AM-276-L09	RM	1
AM-276-L10	Lamassu	1
AM-276-L10	RM	2
AM-276-L11	RM	2
AM-276-L15	AbiU	1
AM-276-L16	RM	1
AM-276-L19	RM	1
AM-276-L22	RM	2
AM-276-L23	AbiU	1
AM-276-L23	ShosTA	1
AM-276-L23	RM	1
AM-276-M03	AbiU	1
AH-888-G04	RM	2
AH-888-G06	RM	1
AH-888-G11	RM	1
AH-888-G14	RM	1
AH-888-G21	AbiU	1
AH-888-G21	RM	1
AH-888-G23	dXTPase	1
AH-888-I08	AbiU	1
AH-888-I11	PsyrTA	1
AH-888-I20	RM	1
AH-888-J02	Eleos	1
AH-888-J03	dXTPase	1
AH-888-J05	RM	1
AH-888-J08	Zorya	1
AH-888-J08	RM	1
AH-888-K06	AbiU	1
AH-888-K06	RM	1
AH-888-K14	RM	1
AH-888-K19	RM	1
AH-888-K23	RM	1
AH-888-L05	RM	1
AH-888-L07	ShosTA	1
AH-888-L08	RM	1
AH-888-M04	RM	1
AH-888-M09	RM	2
AH-888-M17	RM	1
AH-888-O11	RM	1
AH-888-O19	RM	1
AH-888-O23	AbiU	1
AH-888-P02	PsyrTA	1
AH-888-P02	RM	1
AH-888-P18	RM	1
AH-982-A06	AbiU	1
AH-982-A22	RM	1
AH-982-B03	AbiU	1
AH-982-B04	RM	1
AH-982-D19	RM	1
AH-982-E04	RM	1
AH-982-F09	RM	1
AH-982-F10	RM	1
AH-982-G04	RM	1
AH-982-G06	Viperin	1
AH-982-G06	RM	1
AH-982-G13	AbiU	1
AH-982-G17	RM	1
AH-982-G22	RM	2
AH-982-G23	AbiU	1
AH-982-I02	RM	1
AH-982-I06	RM	2
AH-982-I08	RM	1
AH-982-I11	AbiU	1
AH-982-I11	RM	1
AH-982-I15	dXTPase	1
AH-982-J06	AbiU	1
AH-982-J09	RM	1
AH-982-J18	DISARM	1
AH-982-J18	AbiU	1
AH-982-J18	RM	1
AH-982-J22	AbiU	1
AH-982-J22	RM	2
AH-982-K11	RM	1
AH-982-K19	DarTG	1
AH-982-K21	AbiU	1
AH-982-L14	RM	1
AH-982-L18	RM	1
AH-982-L21	dXTPase	1
AH-982-M09	RM	1
AH-982-M13	DISARM	1
AH-982-N04	RM	1
AH-982-N18	AbiU	1
AH-982-N18	RM	2
AH-982-N19	dXTPase	1
AH-982-O03	Druantia	1
AH-982-O03	RM	2
AH-982-O07	AbiU	1
AH-982-O07	RM	2
AH-982-O13	AbiU	1
AH-982-O13	RM	1
AH-982-O16	AbiU	1
AH-982-P08	RM	1
AH-982-P11	AbiU	1
AH-982-P11	RM	1
AH-985-A03	Zorya	1
AH-985-A06	RM	2
AH-985-B15	AbiU	1
AH-985-D07	RM	2
AH-985-E15	AbiE	1
AH-985-E15	SoFic	1
AH-985-E19	RM	1
AH-985-F03	AbiU	1
AH-985-F13	RM	1
AH-985-F16	PD-T4-3	1
AH-985-F16	RM	1
AH-985-G05	RM	1
AH-985-G13	AbiU	1
AH-985-G13	RM	1
AH-985-I03	RM	2
AH-985-I05	Cas	1
AH-985-I08	RM	1
AH-985-I09	AbiU	1
AH-985-I11	AbiU	1
AH-985-I15	RM	2
AH-985-I15	Cas	1
AH-985-I19	ShosTA	1
AH-985-J03	AbiU	1
AH-985-J13	AbiU	1
AH-985-J17	AbiU	1
AH-985-J19	RM	1
AH-985-K02	RM	1
AH-985-K03	RM	1
AH-985-K07	AbiU	1
AH-985-K09	AbiU	1
AH-985-K09	RM	1
AH-985-K20	Hhe	1
AH-985-K20	RM	1
AH-985-L03	RM	1
AH-985-M07	AbiU	1
AH-985-M07	RM	2
AH-985-M09	AbiU	1
AH-985-M13	AbiU	1
AH-985-M13	RM	2
AH-985-N08	AbiU	1
AH-985-N16	RM	1
AH-985-O03	AbiU	1
AH-985-O06	DISARM	1
AH-985-P01	RM	1
AH-988-A04	RM	1
AH-988-A08	AbiU	1
AH-988-A09	Tiamat	1
AH-988-A09	RM	3
AH-988-A10	RM	1
AH-988-A19	RM	1
AH-988-B07	AbiU	1
AH-988-B07	RM	1
AH-988-C05	Shedu	1
AH-988-C08	RM	2
AH-988-C15	AbiU	1
AH-988-C15	RM	2
AH-988-D06	RM	1
AH-988-D17	ShosTA	1
AH-988-D23	RM	2
AH-988-E03	PsyrTA	1
AH-988-E06	RM	1
AH-988-E10	AbiU	1
AH-988-E11	Eleos	1
AH-988-E11	RM	1
AH-988-E13	AbiU	1
AH-988-E17	PfiAT	1
AH-988-E17	RM	1
AH-988-F04	RM	1
AH-988-F04	Cas	1
AH-988-F06	AbiU	1
AH-988-F08	AbiU	1
AH-988-F08	RM	1
AH-988-F10	RM	2
AH-988-F20	PsyrTA	1
AH-988-G03	RM	1
AH-988-G05	AbiU	1
AH-988-G20	RM	1
AH-988-I03	AbiE	1
AH-988-I03	RM	1
AH-988-I06	AbiU	1
AH-991-A04	AbiU	1
AH-991-A14	RM	1
AH-991-A15	RM	3
AH-991-A16	PsyrTA	1
AH-991-A16	RM	2
AH-991-A17	Pycsar	1
AH-991-A23	AbiU	1
AH-991-B02	AbiU	1
AH-991-B02	RM	3
AH-991-B10	RM	1
AH-991-B13	AbiU	1
AH-991-B13	RM	1
AH-991-B18	AbiU	1
AH-991-C04	RM	1
AH-991-C13	AbiU	1
AH-991-C13	RM	1
AH-991-C22	AbiD	1
AH-991-C22	AbiP2	1
AH-991-C22	Dsr	1
AH-991-C22	AVAST	1
AH-991-C22	RosmerTA	1
AH-991-C22	Shango	1
AH-991-C22	Zorya	1
AH-991-C22	CBASS	1
AH-991-C22	Eleos	1
AH-991-C22	RM	7
AH-991-C22	Cas	1
AM-276-M11	AbiU	1
AM-276-M14	AbiU	1
AM-276-M14	RM	1
AM-276-M15	RM	3
AM-276-M17	RM	1
AM-276-M20	RM	1
AM-276-N10	PsyrTA	1
AM-276-N14	ShosTA	1
AM-276-N14	RM	1
AM-276-N16	ShosTA	1
AM-276-N16	PfiAT	1
AM-276-N16	RM	4
AM-276-N16	Cas	2
AM-276-N22	RM	1
AM-276-O09	RM	2
AM-276-O10	RM	2
AM-276-O19	RM	1
AM-276-P05	AbiU	1
AM-276-P05	RM	2
AM-276-P08	AbiU	1
AM-276-P10	RM	1
AM-276-P13	BREX	1
AM-276-P13	RM	3
AM-276-P14	RM	1
AM-280-A03	AbiU	1
AM-280-A06	RM	1
AH-991-D03	AbiU	1
AH-991-D03	RM	1
AH-991-D09	RM	2
AH-991-D09	Cas	1
